"code","label"
"11H(VINCENT FERRER)119","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(VINCENT FERRER)12","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(VINCENT FERRER)13","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - male saint as founder of Order"
"11H(VINCENT FERRER)131","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(VINCENT FERRER)2","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - early life of male saint"
"11H(VINCENT FERRER)3","personal devotion of St. Vincent Ferrer"
"11H(VINCENT FERRER)31","personal devotion of St. Vincent Ferrer - vocation, conversion of male saint"
"11H(VINCENT FERRER)32","St. Vincent Ferrer, kneeling, receives the habit of the Dominican Order"
"11H(VINCENT FERRER)33","personal devotion of St. Vincent Ferrer - renouncing worldly goods, ascetic life of male saint"
"11H(VINCENT FERRER)34","personal devotion of St. Vincent Ferrer - vision(s), mystic marriage of male saint"
"11H(VINCENT FERRER)35","personal devotion of St. Vincent Ferrer - temptation of male saint"
"11H(VINCENT FERRER)36","personal devotion of St. Vincent Ferrer - penitence of male saint"
"11H(VINCENT FERRER)37","personal devotion of St. Vincent Ferrer - male saint meditating, in ecstasy"
"11H(VINCENT FERRER)4","non-miraculous activities and events ~ St. Vincent Ferrer"
"11H(VINCENT FERRER)41","St. Vincent Ferrer preaching"
"11H(VINCENT FERRER)411","St. Vincent Ferrer, preaching, with wings"
"11H(VINCENT FERRER)42","St. Vincent Ferrer converting Jews"
"11H(VINCENT FERRER)5","miraculous activities and events ~ St. Vincent Ferrer"
"11H(VINCENT FERRER)51","miraculous healings of St. Vincent Ferrer"
"11H(VINCENT FERRER)52","a child is killed and cut to pieces by an insane mother, before the father and St. Vincent Ferrer; Vincent raises the child from the dead"
"11H(VINCENT FERRER)59","miraculous activities and events ~ St. Vincent Ferrer - stigmatization of male saint"
"11H(VINCENT FERRER)6","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - martyrdom, suffering, misfortune, death of male saint"
"11H(VINCENT FERRER)68","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - death, deathbed of male saint"
"11H(VINCENT FERRER)69","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - maltreatment of corpse of male saint"
"11H(VINCENT FERRER)7","apotheosis of St. Vincent Ferrer"
"11H(VINCENT FERRER)8","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - post-mortem occurrences ~ male saint"
"11H(VINCENT FERRER)81","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - finding, transportation of relics of male saint"
"11H(VINCENT FERRER)82","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - miracles occurring during handling of relics of male saint"
"11H(VINCENT FERRER)83","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - posthumous deeds, appearances of male saints"
"11H(VINCENT FERRER)84","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - beatification, canonization of male saint"
"11H(VINCENT FERRER)9","the Dominican friar Vincent Ferrer of Valencia (or Vannes); possible attributes: book, baptismal font, cardinal's hat at feet, flames, flaming sword, IHS monogram, lily, sun, trumpet of the Last Judgement - portrait of male saint"
"11H(VINCENT)","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship"
"11H(VINCENT)0","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - male saint represented in a group"
"11H(VINCENT)1","specific aspects ~ St. Vincent"
"11H(VINCENT)11","St. Vincent as patron"
"11H(VINCENT)111","St. Vincent as patron of wine-growers"
"11H(VINCENT)112","St. Vincent as patron of woodcutters"
"11H(VINCENT)119","St. Vincent as patron - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(VINCENT)12","specific aspects ~ St. Vincent - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(VINCENT)13","specific aspects ~ St. Vincent - male saint as founder of Order"
"11H(VINCENT)131","specific aspects ~ St. Vincent - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(VINCENT)2","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - early life of male saint"
"11H(VINCENT)3","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - personal devotion of male saint"
"11H(VINCENT)31","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - vocation, conversion of male saint"
"11H(VINCENT)32","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - baptism, consecration, taking vows of male saint"
"11H(VINCENT)33","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - renouncing worldly goods, ascetic life of male saint"
"11H(VINCENT)34","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - vision(s), mystic marriage of male saint"
"11H(VINCENT)35","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - temptation of male saint"
"11H(VINCENT)36","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - penitence of male saint"
"11H(VINCENT)37","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - male saint meditating, in ecstasy"
"11H(VINCENT)4","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - non-miraculous activities and events ~ male saint"
"11H(VINCENT)5","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - miraculous activities and events ~ male saint"
"11H(VINCENT)59","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - stigmatization of male saint"
"11H(VINCENT)6","martyrdom, suffering, misfortune, death of St. Vincent"
"11H(VINCENT)61","St. Vincent before a Roman ruler; he breaks the pagan idols"
"11H(VINCENT)62","St. Vincent is scourged"
"11H(VINCENT)63","tied to a cross, the flesh of St. Vincent is torn with iron combs"
"11H(VINCENT)64","St. Vincent is roasted on a gridiron"
"11H(VINCENT)65","St. Vincent is laid on potsherds, which then change into flowers"
"11H(VINCENT)68","martyrdom, suffering, misfortune, death of St. Vincent - death, deathbed of male saint"
"11H(VINCENT)69","maltreatment of the corpse of St. Vincent"
"11H(VINCENT)691","the body of St. Vincent is guarded by ravens, that drive away the wild beasts"
"11H(VINCENT)692","the body of St. Vincent is cast overboard with a millstone tied to it"
"11H(VINCENT)693","the body of Vincent, floating upon the water, is guarded by a raven"
"11H(VINCENT)694","the body of St. Vincent, washed ashore, is buried by angels"
"11H(VINCENT)7","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - apotheosis, glory, triumph of male saint"
"11H(VINCENT)8","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - post-mortem occurrences ~ male saint"
"11H(VINCENT)81","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - finding, transportation of relics of male saint"
"11H(VINCENT)82","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - miracles occurring during handling of relics of male saint"
"11H(VINCENT)83","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - posthumous deeds, appearances of male saints"
"11H(VINCENT)84","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - beatification, canonization of male saint"
"11H(VINCENT)9","the deacon and martyr Vincent of Saragossa (or Valencia); possible attributes: book, bunch of grapes, dalmatic, gridiron (with spikes), millstone, raven, ship - portrait of male saint"
"11H(VITUS)","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel)"
"11H(VITUS)0","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint represented in a group"
"11H(VITUS)1","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - specific aspects ~ male saint"
"11H(VITUS)11","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint as patron, protector, intercessor"
"11H(VITUS)119","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(VITUS)12","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(VITUS)13","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint as founder of Order"
"11H(VITUS)131","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(VITUS)2","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - early life of male saint"
"11H(VITUS)3","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - personal devotion of male saint"
"11H(VITUS)31","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - vocation, conversion of male saint"
"11H(VITUS)32","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - baptism, consecration, taking vows of male saint"
"11H(VITUS)33","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - renouncing worldly goods, ascetic life of male saint"
"11H(VITUS)34","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - vision(s), mystic marriage of male saint"
"11H(VITUS)35","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - temptation of male saint"
"11H(VITUS)36","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - penitence of male saint"
"11H(VITUS)37","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - male saint meditating, in ecstasy"
"11H(VITUS)4","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - non-miraculous activities and events ~ male saint"
"11H(VITUS)5","miraculous activities and events ~ St. Vitus"
"11H(VITUS)51","St. Vitus, together with his tutor Modestus and his nurse Crescentia, escapes from his father's wrath in a boat steered by an angel"
"11H(VITUS)52","birds feed the three fugitives St. Vitus, Modestus, and Crescentia"
"11H(VITUS)53","the father of St. Vitus is blinded, when peeping into the dungeon, in which he holds his son prisoner; the dungeon is illuminated by heavenly lights (lamps)"
"11H(VITUS)531","St. Vitus cures his father from blindness"
"11H(VITUS)59","miraculous activities and events ~ St. Vitus - stigmatization of male saint"
"11H(VITUS)6","martyrdom, suffering, misfortune, death of St. Vitus"
"11H(VITUS)61","St. Vitus, Modestus and Crescentia are brought before the Roman emperor; they refuse to worship pagan statues"
"11H(VITUS)62","St. Vitus (perhaps together with Modestus and Crescentia) is put in a cauldron of boiling oil"
"11H(VITUS)63","St. Vitus is thrown to the lions; the lions do not touch him"
"11H(VITUS)64","St. Vitus (perhaps together with Modestus and Crescentia) is hanged"
"11H(VITUS)68","martyrdom, suffering, misfortune, death of St. Vitus - death, deathbed of male saint"
"11H(VITUS)69","martyrdom, suffering, misfortune, death of St. Vitus - maltreatment of corpse of male saint"
"11H(VITUS)7","glory of St. Vitus"
"11H(VITUS)8","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - post-mortem occurrences ~ male saint"
"11H(VITUS)81","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - finding, transportation of relics of male saint"
"11H(VITUS)82","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - miracles occurring during handling of relics of male saint"
"11H(VITUS)83","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - posthumous deeds, appearances of male saints"
"11H(VITUS)84","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - beatification, canonization of male saint"
"11H(VITUS)9","the martyr Vitus (Veit, Guy); possible attributes: bird, cauldron, cock, dog, hare, lamp, lion, loaf, model of church, stick (or cudgel) - portrait of male saint"
"11H(WENCESLAS)","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press"
"11H(WENCESLAS)0","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint represented in a group"
"11H(WENCESLAS)1","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - specific aspects ~ male saint"
"11H(WENCESLAS)11","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint as patron, protector, intercessor"
"11H(WENCESLAS)119","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(WENCESLAS)12","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(WENCESLAS)13","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint as founder of Order"
"11H(WENCESLAS)131","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(WENCESLAS)2","early life of St. Wenceslas"
"11H(WENCESLAS)21","St. Wenceslas is educated by his grandmother Ludmila"
"11H(WENCESLAS)3","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - personal devotion of male saint"
"11H(WENCESLAS)31","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - vocation, conversion of male saint"
"11H(WENCESLAS)32","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - baptism, consecration, taking vows of male saint"
"11H(WENCESLAS)33","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - renouncing worldly goods, ascetic life of male saint"
"11H(WENCESLAS)34","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - vision(s), mystic marriage of male saint"
"11H(WENCESLAS)35","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - temptation of male saint"
"11H(WENCESLAS)36","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - penitence of male saint"
"11H(WENCESLAS)37","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - male saint meditating, in ecstasy"
"11H(WENCESLAS)4","non-miraculous activities and events ~ St. Wenceslas"
"11H(WENCESLAS)41","St. Wenceslas carrying wood to the poor"
"11H(WENCESLAS)5","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - miraculous activities and events ~ male saint"
"11H(WENCESLAS)59","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - stigmatization of male saint"
"11H(WENCESLAS)6","martyrdom, suffering, misfortune, death of St. Wenceslas"
"11H(WENCESLAS)68","St. Wenceslas is murdered by his brother with a sword or a lance"
"11H(WENCESLAS)69","martyrdom, suffering, misfortune, death of St. Wenceslas - maltreatment of corpse of male saint"
"11H(WENCESLAS)7","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - apotheosis, glory, triumph of male saint"
"11H(WENCESLAS)8","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - post-mortem occurrences ~ male saint"
"11H(WENCESLAS)81","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - finding, transportation of relics of male saint"
"11H(WENCESLAS)82","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - miracles occurring during handling of relics of male saint"
"11H(WENCESLAS)83","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - posthumous deeds, appearances of male saints"
"11H(WENCESLAS)84","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - beatification, canonization of male saint"
"11H(WENCESLAS)9","the martyr and duke of Bohemia, Wencesla(u)s; possible attributes: bunch of grapes, knight's armour, ducal hat, lance, shield, sword, wine press - portrait of male saint"
"11H(WILLIAM OF AQUITAINE)","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet"
"11H(WILLIAM OF AQUITAINE)0","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint represented in a group"
"11H(WILLIAM OF AQUITAINE)1","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - specific aspects ~ male saint"
"11H(WILLIAM OF AQUITAINE)11","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint as patron, protector, intercessor"
"11H(WILLIAM OF AQUITAINE)119","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(WILLIAM OF AQUITAINE)12","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(WILLIAM OF AQUITAINE)13","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint as founder of Order"
"11H(WILLIAM OF AQUITAINE)131","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(WILLIAM OF AQUITAINE)2","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - early life of male saint"
"11H(WILLIAM OF AQUITAINE)3","personal devotion of St. William of Aquitaine"
"11H(WILLIAM OF AQUITAINE)31","personal devotion of St. William of Aquitaine - vocation, conversion of male saint"
"11H(WILLIAM OF AQUITAINE)32","St. William of Aquitaine receives the habit from Benedict of Aniane"
"11H(WILLIAM OF AQUITAINE)33","personal devotion of St. William of Aquitaine - renouncing worldly goods, ascetic life of male saint"
"11H(WILLIAM OF AQUITAINE)34","personal devotion of St. William of Aquitaine - vision(s), mystic marriage of male saint"
"11H(WILLIAM OF AQUITAINE)35","personal devotion of St. William of Aquitaine - temptation of male saint"
"11H(WILLIAM OF AQUITAINE)36","personal devotion of St. William of Aquitaine - penitence of male saint"
"11H(WILLIAM OF AQUITAINE)37","personal devotion of St. William of Aquitaine - male saint meditating, in ecstasy"
"11H(WILLIAM OF AQUITAINE)4","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - non-miraculous activities and events ~ male saint"
"11H(WILLIAM OF AQUITAINE)5","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - miraculous activities and events ~ male saint"
"11H(WILLIAM OF AQUITAINE)59","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - stigmatization of male saint"
"11H(WILLIAM OF AQUITAINE)6","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - martyrdom, suffering, misfortune, death of male saint"
"11H(WILLIAM OF AQUITAINE)68","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - death, deathbed of male saint"
"11H(WILLIAM OF AQUITAINE)69","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - maltreatment of corpse of male saint"
"11H(WILLIAM OF AQUITAINE)7","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - apotheosis, glory, triumph of male saint"
"11H(WILLIAM OF AQUITAINE)8","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - post-mortem occurrences ~ male saint"
"11H(WILLIAM OF AQUITAINE)81","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - finding, transportation of relics of male saint"
"11H(WILLIAM OF AQUITAINE)82","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - miracles occurring during handling of relics of male saint"
"11H(WILLIAM OF AQUITAINE)83","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - posthumous deeds, appearances of male saints"
"11H(WILLIAM OF AQUITAINE)84","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - beatification, canonization of male saint"
"11H(WILLIAM OF AQUITAINE)9","the Benedictine monk and duke of Aquitaine, William (of Gellone); possible attributes: armour, banner, helmet - portrait of male saint"
"11H(WILLIAM OF MALEVAL)","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff"
"11H(WILLIAM OF MALEVAL)0","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff - male saint represented in a group"
"11H(WILLIAM OF MALEVAL)1","specific aspects ~ St. William of Maleval"
"11H(WILLIAM OF MALEVAL)11","St. William of Maleval as patron of armourers"
"11H(WILLIAM OF MALEVAL)119","St. William of Maleval as patron of armourers - male saint protecting devotees with cloak, 'Schutzmantel'"
"11H(WILLIAM OF MALEVAL)12","specific aspects ~ St. William of Maleval - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)"
"11H(WILLIAM OF MALEVAL)13","St. William of Maleval as founder of the Order of the Wilhelmites, wearing a coat of mail beneath his black cloak"
"11H(WILLIAM OF MALEVAL)131","St. William of Maleval as founder of the Order of the Wilhelmites, wearing a coat of mail beneath his black cloak - male saint ~ confirmation of Order, approval of Rule(s)"
"11H(WILLIAM OF MALEVAL)2","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff - early life of male saint"
"11H(WILLIAM OF MALEVAL)3","personal devotion of St. William of Maleval"
"11H(WILLIAM OF MALEVAL)31","personal devotion of St. William of Maleval - vocation, conversion of male saint"
"11H(WILLIAM OF MALEVAL)32","personal devotion of St. William of Maleval - baptism, consecration, taking vows of male saint"
"11H(WILLIAM OF MALEVAL)33","personal devotion of St. William of Maleval - renouncing worldly goods, ascetic life of male saint"
"11H(WILLIAM OF MALEVAL)34","personal devotion of St. William of Maleval - vision(s), mystic marriage of male saint"
"11H(WILLIAM OF MALEVAL)35","personal devotion of St. William of Maleval - temptation of male saint"
"11H(WILLIAM OF MALEVAL)36","the penitent St. William of Maleval, in armour, tied to a tree"
"11H(WILLIAM OF MALEVAL)37","personal devotion of St. William of Maleval - male saint meditating, in ecstasy"
"11H(WILLIAM OF MALEVAL)4","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff - non-miraculous activities and events ~ male saint"
"11H(WILLIAM OF MALEVAL)5","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff - miraculous activities and events ~ male saint"
"11H(WILLIAM OF MALEVAL)59","the hermit William of Maleval (the Great); possible attributes: book, coat of mail, dragon under feet, helmet, shield, rosary, T-shaped staff - stigmatization of male saint"
